# llvq-mmlu-dump v1
# model=/Users/pjmalandrino/embed-q4-swap-2026-09-23/qwen3-4b-dclm-ft-e4.bin [LLVQ 2-bit, sealed; restored o_proj,down_proj at int4 g128 (dequantized) (48 matrices, 676331520 weights) from Qwen/Qwen3-4B@main]
# dtype=f16
# limit=1
# alloc=flat, 1 per subject, 57 questions
# config=none
# arithmetic=dense reconstruction
# kv=f16
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
jurisprudence,36,108,b6f75694c492f80f,0,2,0,22.6875,22.28125,27.796875,23.90625
logical_fallacies,123,163,04075dde158b62ba,0,0,1,25.578125,24.921875,22.03125,24
machine_learning,31,112,007e0cbcad4c69be,2,0,0,23.40625,23.359375,22.078125,22.84375
management,32,103,af743e25099854cb,3,3,1,20.34375,18.515625,24.40625,26.34375
marketing,137,234,fb695002228a9253,0,3,0,24.59375,23.625,20.984375,25.234375
medical_genetics,40,100,7b006031a8f58164,0,0,1,25.984375,23.484375,24.046875,23.671875
miscellaneous,747,783,547094be898d235b,3,3,1,22.6875,20.671875,21.921875,25.640625
moral_disputes,27,346,6dfe85b1222cd8c2,3,3,1,25.15625,23.078125,20.765625,25.328125
moral_scenarios,600,895,cd5a40802aa8e10d,1,0,0,23.625,23.015625,22.625,21.8125
nutrition,12,306,857409aed62a3de2,1,1,1,20.4375,29.015625,22.609375,23.625
philosophy,293,311,efacdc9530477dac,2,0,0,25.015625,23.859375,23.328125,23.5625
prehistory,291,324,7c3469a06cf0a582,0,3,0,24.671875,21.09375,21.265625,26.90625
professional_accounting,57,282,b5fcdb16958f57ef,3,1,0,21.78125,22.28125,21.6875,21.71875
professional_law,1521,1534,010a8a4045d07f48,0,2,0,22.46875,23.453125,24.875,22.203125
professional_medicine,136,272,980692276ed7f6fd,3,3,1,20.703125,22.125,23.515625,25.84375
professional_psychology,279,612,5d6366e1ed8667d6,2,2,1,22.0625,18.640625,27.484375,23.53125
public_relations,58,110,40ea2157a92017b0,0,3,0,22.1875,25.421875,21.03125,25.78125
security_studies,133,245,c52e994a765622d5,2,2,1,21.84375,24.46875,28.59375,19.828125
sociology,141,201,684d16d0b2c9cb82,1,1,1,21.15625,30.359375,22.28125,22.625
us_foreign_policy,82,100,1469f2eb8cda315a,2,1,0,20.40625,28.046875,22.71875,24.484375
virology,129,166,90de8b2cad759ad7,0,1,0,23.75,25.984375,21.515625,23.625
world_religions,54,171,f1ee866cd43cd940,0,0,1,24.953125,23.890625,20.53125,20.640625
# end fingerprint=a948aa47418e7fcf questions=57
