layer,projection,gradient,curvature,optimal_scale,gain_nll,step
2,mlp.gate_proj,1.1465982357e-1,9.5930846463e-1,0.97000000,-3.0081058981e-3,0.01
2,mlp.up_proj,-1.1036818044e-1,5.0529675033e-1,1.03000000,-3.0836618756e-3,0.01
2,mlp.down_proj,-1.1035923538e-1,5.0748332164e-1,1.03000000,-3.0824095666e-3,0.01
3,self_attn.q_proj,9.9389604769e-6,-7.9511683015e-4,0.97000000,-6.5597138788e-7,0.01
3,self_attn.k_proj,-8.9450644225e-6,1.3914544716e-3,1.00642857,-2.8751992664e-8,0.01
3,self_attn.v_proj,9.8743572275e-3,5.3809531988e-1,0.98164943,-9.0600054540e-5,0.01
3,self_attn.o_proj,9.8584548908e-3,5.4008311198e-1,0.98174641,-8.9976089493e-5,0.01
3,mlp.gate_proj,1.0373988770e-1,1.1368182986e0,0.97000000,-2.6006283967e-3,0.01
3,mlp.up_proj,-9.2592349640e-2,4.8681028386e-1,1.03000000,-2.5587058615e-3,0.01
3,mlp.down_proj,-9.2592349640e-2,4.8879807595e-1,1.03000000,-2.5578113550e-3,0.01
4,self_attn.q_proj,-9.9389603214e-7,-1.9877920643e-4,1.03000000,-1.1926752386e-7,0.01
4,self_attn.k_proj,2.9816881408e-6,1.9877921531e-4,0.98500000,-2.2362660390e-8,0.01
4,self_attn.v_proj,6.2361013577e-2,3.3076860447e-1,0.97000000,-1.7219845353e-3,0.01
4,self_attn.o_proj,6.2365983057e-2,3.3136494209e-1,0.97000000,-1.7218652678e-3,0.01
4,mlp.gate_proj,-9.4062321894e-3,8.2970442009e-1,1.01133685,-5.3318508290e-5,0.01
4,mlp.up_proj,-1.1958159680e-1,4.8144324520e-1,1.03000000,-3.3707984436e-3,0.01
4,mlp.down_proj,-1.1959153576e-1,4.8223836204e-1,1.03000000,-3.3707388098e-3,0.01
5,self_attn.q_proj,5.9633763039e-6,4.4408920985e-12,0.97000000,-1.7890128712e-7,0.01
5,self_attn.k_proj,-5.9633762817e-6,3.5780257779e-3,1.00166667,-4.9694802224e-9,0.01
5,self_attn.v_proj,-4.5500561034e-3,3.8404143259e-1,1.01184783,-2.6954136699e-5,0.01
5,self_attn.o_proj,-4.5440927271e-3,3.8523410784e-1,1.01179567,-2.6800299211e-5,0.01
5,mlp.gate_proj,4.8105562574e-2,1.3208878465e0,0.97000000,-8.4876734627e-4,0.01
5,mlp.up_proj,-8.1694279484e-2,4.1147296349e-1,1.03000000,-2.2656655510e-3,0.01
5,mlp.down_proj,-8.1695273380e-2,4.0928639218e-1,1.03000000,-2.2666793249e-3,0.01
6,self_attn.q_proj,0.0000000000e0,0.0000000000e0,1.00000000,0.0000000000e0,0.01
6,self_attn.k_proj,-3.0810777463e-5,1.9877921087e-4,1.03000000,-8.3487267899e-7,0.01
6,self_attn.v_proj,2.8370862053e-1,9.1498070093e-1,0.97000000,-8.0995173005e-3,0.01
6,self_attn.o_proj,2.8371557780e-1,9.1398680488e-1,0.97000000,-8.1001732719e-3,0.01
6,mlp.gate_proj,9.9432342236e-2,2.7411652978e-1,0.97000000,-2.8596178287e-3,0.01
6,mlp.up_proj,-4.5271964944e-2,3.3553930550e-1,1.03000000,-1.2071662608e-3,0.01
6,mlp.down_proj,-4.5269977152e-2,3.3553930549e-1,1.03000000,-1.2071066271e-3,0.01
7,self_attn.q_proj,0.0000000000e0,3.9755842174e-4,1.00000000,0.0000000000e0,0.01
7,self_attn.k_proj,7.9511683904e-6,7.9511684348e-4,0.99000000,-3.9755841730e-8,0.01
7,self_attn.v_proj,1.5467010284e-1,3.1764917665e-1,0.97000000,-4.4971609558e-3,0.01
7,self_attn.o_proj,1.5465718219e-1,3.1824551427e-1,0.97000000,-4.4965049844e-3,0.01
7,mlp.gate_proj,1.2855846590e-1,5.0609186717e-1,0.97000000,-3.6290126366e-3,0.01
7,mlp.up_proj,-2.1366777220e-2,3.1327603404e-1,1.03000000,-5.0002910127e-4,0.01
7,mlp.down_proj,-2.1363795532e-2,3.1387237167e-1,1.03000000,-4.9967129870e-4,0.01
8,self_attn.q_proj,3.9755841952e-6,7.9511683904e-4,0.99500000,-9.9389604880e-9,0.01
8,self_attn.k_proj,-4.9694802495e-6,9.9389604991e-4,1.00500000,-1.2423700624e-8,0.01
8,self_attn.v_proj,6.0745932500e-2,1.7671471717e-1,0.97000000,-1.7428563523e-3,0.01
8,self_attn.o_proj,6.0746926396e-2,1.7850373006e-1,0.97000000,-1.7420811134e-3,0.01
8,mlp.gate_proj,1.3267220163e-1,3.0830655380e-1,0.97000000,-3.8414280998e-3,0.01
8,mlp.up_proj,-7.4587922748e-2,2.4569110284e-1,1.03000000,-2.1270766862e-3,0.01
8,mlp.down_proj,-7.4584941060e-2,2.4270941470e-1,1.03000000,-2.1283289952e-3,0.01
9,self_attn.q_proj,-9.9389603214e-7,-1.3914544628e-3,1.03000000,-6.5597138921e-7,0.01
9,self_attn.k_proj,-1.0932856531e-5,1.9877921531e-4,1.03000000,-2.3853504905e-7,0.01
9,self_attn.v_proj,-2.3861456298e-2,1.9718897574e-1,1.03000000,-6.2710864985e-4,0.01
9,self_attn.o_proj,-2.3857480714e-2,1.9798409258e-1,1.03000000,-6.2663157975e-4,0.01
9,mlp.gate_proj,5.0123171549e-2,2.1368765012e-1,0.97000000,-1.4075357039e-3,0.01
9,mlp.up_proj,2.4228203939e-2,2.1806079273e-1,0.97000000,-6.2871876145e-4,0.01
9,mlp.down_proj,2.4220252771e-2,2.1686811747e-1,0.97000000,-6.2901693026e-4,0.01
10,self_attn.q_proj,2.9816881408e-6,1.9877921531e-4,0.98500000,-2.2362660390e-8,0.01
10,self_attn.k_proj,9.9389605435e-7,2.9816881453e-3,0.99966667,-1.6564934338e-10,0.01
10,self_attn.v_proj,1.1482381642e-1,2.8047746448e-1,0.97000000,-3.3184996336e-3,0.01
10,self_attn.o_proj,1.1482481032e-1,2.8147136053e-1,0.97000000,-3.3180821973e-3,0.01
10,mlp.gate_proj,1.5632295197e-1,5.6512929236e-1,0.97000000,-4.4353803775e-3,0.01
10,mlp.up_proj,7.0942312047e-2,5.1404303555e-1,0.97000000,-1.8969499954e-3,0.01
10,mlp.down_proj,7.0934360879e-2,5.1444059396e-1,0.97000000,-1.8965325591e-3,0.01
11,self_attn.q_proj,6.9572723360e-6,1.7890128889e-3,0.99611111,-1.3528029523e-8,0.01
11,self_attn.k_proj,-4.9694802273e-6,2.1865713107e-3,1.00227273,-5.6471365944e-9,0.01
11,self_attn.v_proj,5.3108835275e-2,4.1485221005e-1,0.97000000,-1.4065815637e-3,0.01
11,self_attn.o_proj,5.3097902418e-2,4.1584610609e-1,0.97000000,-1.4058063248e-3,0.01
11,mlp.gate_proj,2.5945656309e-2,3.3375029261e-1,0.97000000,-6.2818205758e-4,0.01
11,mlp.up_proj,-3.5200816299e-2,2.2163881850e-1,1.03000000,-9.5628702064e-4,0.01
11,mlp.down_proj,-3.5200816299e-2,2.2203637692e-1,1.03000000,-9.5610811935e-4,0.01
12,self_attn.q_proj,0.0000000000e0,-7.9511683460e-4,1.03000000,-3.5780257557e-7,0.01
12,self_attn.k_proj,4.9694802495e-6,-1.9877920643e-4,0.97000000,-2.3853505038e-7,0.01
12,self_attn.v_proj,3.2339389579e-2,1.1847240881e-1,0.97000000,-9.1686910341e-4,0.01
12,self_attn.o_proj,3.2337401787e-2,1.1767729197e-1,0.97000000,-9.1716727223e-4,0.01
12,mlp.gate_proj,5.5237760607e-2,3.3573808470e-1,0.97000000,-1.5060506801e-3,0.01
12,mlp.up_proj,-3.6475984928e-4,2.4787767414e-1,1.00147153,-2.6837783618e-7,0.01
12,mlp.down_proj,-3.6078426509e-4,2.4827523256e-1,1.00145316,-2.6213908772e-7,0.01
13,self_attn.q_proj,9.9389604769e-6,3.9755842618e-4,0.97500000,-1.2423700374e-7,0.01
13,self_attn.k_proj,-4.9694802495e-6,1.3914544716e-3,1.00357143,-8.8740718628e-9,0.01
13,self_attn.v_proj,6.8837240219e-2,1.7254035377e-1,0.97000000,-1.9874740474e-3,0.01
13,self_attn.o_proj,6.8832270739e-2,1.7393180824e-1,0.97000000,-1.9866988085e-3,0.01
13,mlp.gate_proj,1.5313950293e-2,1.7254035377e-1,0.97000000,-3.8177534960e-4,0.01
13,mlp.up_proj,-2.8483072917e-2,1.2801381086e-1,1.03000000,-7.9688597261e-4,0.01
13,mlp.down_proj,-2.8484066813e-2,1.2662235640e-1,1.03000000,-7.9754194400e-4,0.01
14,self_attn.q_proj,6.9572723360e-6,-5.9633762373e-4,0.97000000,-4.7707010076e-7,0.01
14,self_attn.k_proj,-9.9389605435e-7,1.9877921087e-4,1.00500000,-2.4847401359e-9,0.01
14,self_attn.v_proj,1.3101239524e-1,1.4093445948e-1,0.97000000,-3.8669513503e-3,0.01
14,self_attn.o_proj,1.3100941355e-1,1.4113323869e-1,0.97000000,-3.8667724490e-3,0.01
14,mlp.gate_proj,-4.4188618252e-2,3.1248091720e-1,1.03000000,-1.1850421348e-3,0.01
14,mlp.up_proj,-5.6070645495e-2,2.0255601440e-1,1.03000000,-1.5909691584e-3,0.01
14,mlp.down_proj,-5.6078596663e-2,2.0454380649e-1,1.03000000,-1.5903131870e-3,0.01
15,self_attn.q_proj,9.9389605435e-7,9.9389605435e-4,0.99900000,-4.9694802717e-10,0.01
15,self_attn.k_proj,6.9572723360e-6,1.9877921087e-4,0.97000000,-1.1926752519e-7,0.01
15,self_attn.v_proj,9.9046710570e-2,9.0444540284e-2,0.97000000,-2.9307012740e-3,0.01
15,self_attn.o_proj,9.9042734986e-2,9.0444540288e-2,0.97000000,-2.9305820064e-3,0.01
15,mlp.gate_proj,-3.2690234884e-2,2.7928478923e-1,1.03000000,-8.5502889136e-4,0.01
15,mlp.up_proj,-5.1721356393e-2,1.6717331512e-1,1.03000000,-1.4764127000e-3,0.01
15,mlp.down_proj,-5.1717380809e-2,1.6637819828e-1,1.03000000,-1.4766512350e-3,0.01
16,self_attn.q_proj,4.9694802495e-6,9.9389604991e-4,0.99500000,-1.2423700624e-8,0.01
16,self_attn.k_proj,-5.9633762817e-6,-7.9511683460e-4,1.03000000,-5.3670386402e-7,0.01
16,self_attn.v_proj,1.9742552300e-1,1.5743313386e-1,0.97000000,-5.8519207796e-3,0.01
16,self_attn.o_proj,1.9742949858e-1,1.5663801702e-1,0.97000000,-5.8523978497e-3,0.01
16,mlp.gate_proj,-4.8258622565e-2,5.2855391783e-1,1.03000000,-1.2099094139e-3,0.01
16,mlp.up_proj,-4.8781411886e-2,3.8105974445e-1,1.03000000,-1.2919654716e-3,0.01
16,mlp.down_proj,-4.8781411886e-2,3.8225241970e-1,1.03000000,-1.2914287677e-3,0.01
17,self_attn.q_proj,-2.9816881408e-6,9.9389604991e-4,1.00300000,-4.4725321979e-9,0.01
17,self_attn.k_proj,3.9755841952e-6,4.4408920985e-12,0.97000000,-1.1926752386e-7,0.01
17,self_attn.v_proj,1.6247318071e-1,1.8665367764e-1,0.97000000,-4.7902012663e-3,0.01
17,self_attn.o_proj,1.6247516850e-1,1.8546100239e-1,0.97000000,-4.7907976040e-3,0.01
17,mlp.gate_proj,-3.0274073593e-3,2.6715925745e-1,1.01133185,-1.7153055834e-5,0.01
17,mlp.up_proj,-8.7264072932e-3,2.2819853241e-1,1.03000000,-1.5910287921e-4,0.01
17,mlp.down_proj,-8.7303828774e-3,2.2859609083e-1,1.03000000,-1.5904324545e-4,0.01
18,self_attn.q_proj,-2.9816881408e-6,1.7890128934e-3,1.00166667,-2.4847401050e-9,0.01
18,self_attn.k_proj,-2.9816881630e-6,5.9633763261e-4,1.00500000,-7.4542204076e-9,0.01
18,self_attn.v_proj,6.1842199840e-2,2.0076700151e-1,0.97000000,-1.7649208445e-3,0.01
18,self_attn.o_proj,6.1836236464e-2,2.0156211835e-1,0.97000000,-1.7643841407e-3,0.01
18,mlp.gate_proj,-8.9916781482e-2,3.2778691632e-1,1.03000000,-2.5499993321e-3,0.01
18,mlp.up_proj,-6.4424341770e-2,2.2422294822e-1,1.03000000,-1.8318299264e-3,0.01
18,mlp.down_proj,-6.4419372290e-2,2.2322905218e-1,1.03000000,-1.8321280952e-3,0.01
19,self_attn.q_proj,2.9816881408e-6,-1.9877920643e-4,0.97000000,-1.7890128712e-7,0.01
19,self_attn.k_proj,0.0000000000e0,2.7829089344e-3,1.00000000,0.0000000000e0,0.01
19,self_attn.v_proj,2.5187313625e-2,2.3773993446e-1,0.97000000,-6.4863643823e-4,0.01
19,self_attn.o_proj,2.5179362456e-2,2.3773993446e-1,0.97000000,-6.4839790318e-4,0.01
19,mlp.gate_proj,1.0773833150e-3,3.6297083639e-1,0.99703176,-1.5989642846e-6,0.01
19,mlp.up_proj,1.5608143523e-2,2.7630310109e-1,0.97000000,-3.4390791020e-4,0.01
19,mlp.down_proj,1.5618082484e-2,2.7829089318e-1,0.97000000,-3.4331157257e-4,0.01
20,self_attn.q_proj,-1.9877920865e-6,2.3853505171e-3,1.00083333,-8.2824669808e-10,0.01
20,self_attn.k_proj,9.9389604769e-6,-3.9755841730e-4,0.97000000,-4.7707010209e-7,0.01
20,self_attn.v_proj,5.9137808696e-2,2.2561440268e-1,0.97000000,-1.6726077797e-3,0.01
20,self_attn.o_proj,5.9141784280e-2,2.2680707795e-1,0.97000000,-1.6721903433e-3,0.01
20,mlp.gate_proj,-6.4690705911e-2,3.1725161822e-1,1.03000000,-1.7979579491e-3,0.01
20,mlp.up_proj,-6.2784413293e-2,2.6199099801e-1,1.03000000,-1.7656364497e-3,0.01
20,mlp.down_proj,-6.2789382773e-2,2.6099710197e-1,1.03000000,-1.7662327873e-3,0.01
21,self_attn.q_proj,0.0000000000e0,1.9877920998e-3,1.00000000,0.0000000000e0,0.01
21,self_attn.k_proj,-9.9389605435e-7,-9.9389604546e-4,1.03000000,-4.7707010209e-7,0.01
21,self_attn.v_proj,1.5716180023e-1,2.5622640094e-1,0.97000000,-4.5995521266e-3,0.01
21,self_attn.o_proj,1.5716279413e-1,2.5761785540e-1,0.97000000,-4.5989557890e-3,0.01
21,mlp.gate_proj,-3.2565997878e-2,2.9498834677e-1,1.03000000,-8.4423518029e-4,0.01
21,mlp.up_proj,-3.7385399810e-2,2.5980442671e-1,1.03000000,-1.0046500023e-3,0.01
21,mlp.down_proj,-3.7383412018e-2,2.6059954354e-1,1.03000000,-1.0042325659e-3,0.01
22,self_attn.q_proj,-9.9389603214e-7,1.3914544716e-3,1.00071429,-3.5496286182e-10,0.01
22,self_attn.k_proj,-2.9816881408e-6,9.9389604991e-4,1.00300000,-4.4725321979e-9,0.01
22,self_attn.v_proj,-4.0696067543e-2,3.5422455118e-1,1.03000000,-1.0614809783e-3,0.01
22,self_attn.o_proj,-4.0702030919e-2,3.5382699276e-1,1.03000000,-1.0618387808e-3,0.01
22,mlp.gate_proj,-3.8732128954e-2,2.3416190869e-1,1.03000000,-1.0565910097e-3,0.01
22,mlp.up_proj,-3.0820716419e-2,1.9718897574e-1,1.03000000,-8.3588645350e-4,0.01
22,mlp.down_proj,-3.0812765251e-2,1.9798409258e-1,1.03000000,-8.3529011587e-4,0.01
23,self_attn.q_proj,2.9816881408e-6,2.1865713062e-3,0.99863636,-2.0329691842e-9,0.01
23,self_attn.k_proj,2.9816881408e-6,1.9877921531e-4,0.98500000,-2.2362660390e-8,0.01
23,self_attn.v_proj,3.5162054353e-2,1.4590393971e-1,0.97000000,-9.8920485772e-4,0.01
23,self_attn.o_proj,3.5157084873e-2,1.4530760208e-1,0.97000000,-9.8932412524e-4,0.01
23,mlp.gate_proj,-4.0457532492e-2,1.9957432625e-1,1.03000000,-1.1239175279e-3,0.01
23,mlp.up_proj,-3.7916140299e-2,1.6359528935e-1,1.03000000,-1.0638663288e-3,0.01
23,mlp.down_proj,-3.7919121987e-2,1.6299895172e-1,1.03000000,-1.0642241313e-3,0.01
24,self_attn.q_proj,-9.9389603214e-7,1.3914544716e-3,1.00071429,-3.5496286182e-10,0.01
24,self_attn.k_proj,0.0000000000e0,-7.9511683460e-4,1.03000000,-3.5780257557e-7,0.01
24,self_attn.v_proj,6.0741956916e-2,1.8705123606e-1,0.97000000,-1.7380856513e-3,0.01
24,self_attn.o_proj,6.0737981332e-2,1.8784635290e-1,0.97000000,-1.7376085812e-3,0.01
24,mlp.gate_proj,-2.4410086916e-2,1.9082804104e-1,1.03000000,-6.4642998901e-4,0.01
24,mlp.up_proj,-2.4471708471e-2,1.4669905655e-1,1.03000000,-6.6813667867e-4,0.01
24,mlp.down_proj,-2.4471708471e-2,1.4709661497e-1,1.03000000,-6.6795777738e-4,0.01
25,self_attn.q_proj,2.9816881408e-6,9.9389604991e-4,0.99700000,-4.4725321979e-9,0.01
25,self_attn.k_proj,-1.9877920865e-6,1.5902336825e-3,1.00125000,-1.2423700436e-9,0.01
25,self_attn.v_proj,1.1571633507e-1,1.6717331512e-1,0.97000000,-3.3962620603e-3,0.01
25,self_attn.o_proj,1.1571732897e-1,1.6657697749e-1,0.97000000,-3.3965602291e-3,0.01
25,mlp.gate_proj,-4.3224539087e-2,1.8128663899e-1,1.03000000,-1.2151571851e-3,0.01
25,mlp.up_proj,-4.5310726889e-2,1.4133201789e-1,1.03000000,-1.2957223986e-3,0.01
25,mlp.down_proj,-4.5312714682e-2,1.3894666739e-1,1.03000000,-1.2968554401e-3,0.01
26,self_attn.q_proj,1.9877920865e-6,1.1926752608e-3,0.99833333,-1.6564933931e-9,0.01
26,self_attn.k_proj,0.0000000000e0,7.9511684348e-4,1.00000000,0.0000000000e0,0.01
26,self_attn.v_proj,6.9443516808e-2,1.7691349638e-1,0.97000000,-2.0036944309e-3,0.01
26,self_attn.o_proj,6.9449480184e-2,1.7572082113e-1,0.97000000,-2.0044100360e-3,0.01
26,mlp.gate_proj,-3.2621656057e-2,3.3871977284e-1,1.03000000,-8.2622578392e-4,0.01
26,mlp.up_proj,-3.3735813525e-2,2.9081398337e-1,1.03000000,-8.8120811324e-4,0.01
26,mlp.down_proj,-3.3737801317e-2,2.9200665863e-1,1.03000000,-8.8073104314e-4,0.01
27,self_attn.q_proj,1.9877921087e-6,3.9755842174e-4,0.99500000,-4.9694802717e-9,0.01
27,self_attn.k_proj,-1.9877920865e-6,1.1926752608e-3,1.00166667,-1.6564933931e-9,0.01
27,self_attn.v_proj,8.3527023795e-2,8.9848202660e-2,0.97000000,-2.4653790227e-3,0.01
27,self_attn.o_proj,8.3530999379e-2,8.9848202660e-2,0.97000000,-2.4654982902e-3,0.01
27,mlp.gate_proj,-3.7769938191e-1,1.3837020767e0,1.03000000,-1.0708315523e-2,0.01
27,mlp.up_proj,-3.2728301102e-1,1.2465444222e0,1.03000000,-9.2575453407e-3,0.01
27,mlp.down_proj,-3.2729096219e-1,1.2457493054e0,1.03000000,-9.2581416784e-3,0.01
