layer,projection,gradient,curvature,optimal_scale,gain_nll,step
4,self_attn.k_proj,-2.9816881408e-6,0.0000000000e0,1.03000000,-8.9450644225e-8,0.01
4,self_attn.v_proj,1.0180228736e-1,2.6089771235e-1,0.97000000,-2.9366646503e-3,0.01
4,self_attn.o_proj,1.0179185145e-1,2.5821419302e-1,0.97000000,-2.9375591567e-3,0.01
4,mlp.gate_proj,3.0562303447e-3,7.4780738581e-1,0.99591308,-6.2452872873e-6,0.01
4,mlp.up_proj,-1.3539845849e-1,3.3335273418e-1,1.03000000,-3.9119450244e-3,0.01
4,mlp.down_proj,-1.3541038524e-1,3.3037104604e-1,1.03000000,-3.9136445866e-3,0.01
5,self_attn.q_proj,-7.4542203521e-6,1.4908440704e-3,1.00500000,-1.8635550880e-8,0.01
5,self_attn.k_proj,-2.9816881408e-6,1.1926752563e-3,1.00250000,-3.7271101760e-9,0.01
5,self_attn.v_proj,4.4173709812e-3,3.2053147518e-1,0.98621860,-3.0438767947e-5,0.01
5,self_attn.o_proj,4.4263160456e-3,3.2053147518e-1,0.98619070,-3.0562168231e-5,0.01
5,mlp.gate_proj,6.3246078007e-2,1.0987520800e0,0.97000000,-1.4029439042e-3,0.01
5,mlp.up_proj,-6.6844975593e-2,2.9727430767e-1,1.03000000,-1.8715758293e-3,0.01
5,mlp.down_proj,-6.6850938969e-2,2.9667797004e-1,1.03000000,-1.8720230826e-3,0.01
6,self_attn.q_proj,5.9633762817e-6,5.9633762817e-4,0.99000000,-2.9816881408e-8,0.01
6,self_attn.k_proj,-3.5780257690e-5,-1.1926752563e-3,1.03000000,-1.6101115961e-6,0.01
6,self_attn.v_proj,3.2585975189e-1,6.8876996061e-1,0.97000000,-9.4658460743e-3,0.01
6,self_attn.o_proj,3.2587167864e-1,6.9115531113e-1,0.97000000,-9.4651304691e-3,0.01
6,mlp.gate_proj,8.8405562542e-2,1.7085073049e-1,0.97000000,-2.5752840475e-3,0.01
6,mlp.up_proj,-7.8668859917e-2,3.1486626771e-1,1.03000000,-2.2183759770e-3,0.01
6,mlp.down_proj,-7.8676314137e-2,3.1397176127e-1,1.03000000,-2.2190021315e-3,0.01
7,self_attn.q_proj,2.9816881408e-6,2.3853505127e-3,0.99875000,-1.8635550880e-9,0.01
7,self_attn.k_proj,1.4908440704e-6,2.9816881408e-4,0.99500000,-3.7271101760e-9,0.01
7,self_attn.v_proj,1.6659735236e-1,3.7122017357e-1,0.97000000,-4.8308714926e-3,0.01
7,self_attn.o_proj,1.6659437067e-1,3.7122017357e-1,0.97000000,-4.8307820419e-3,0.01
7,mlp.gate_proj,1.5012501622e-1,5.1225402265e-1,0.97000000,-4.2732361764e-3,0.01
7,mlp.up_proj,-4.8154263480e-3,2.9637980123e-1,1.01624748,-3.9119283461e-5,0.01
7,mlp.down_proj,-4.8213897243e-3,2.9697613886e-1,1.01623494,-3.9137485865e-5,0.01
8,self_attn.q_proj,-4.4725322113e-6,2.0871816986e-3,1.00214286,-4.7919987978e-9,0.01
8,self_attn.k_proj,-2.9816881408e-6,1.1926752563e-3,1.00250000,-3.7271101760e-9,0.01
8,self_attn.v_proj,5.9824590865e-2,1.4133201789e-1,0.97000000,-1.7311383179e-3,0.01
8,self_attn.o_proj,5.9823100021e-2,1.4282286196e-1,0.97000000,-1.7304227127e-3,0.01
8,mlp.gate_proj,1.4894874025e-1,3.5988975864e-1,0.97000000,-4.3065118161e-3,0.01
8,mlp.up_proj,-8.1534262221e-2,2.6477390694e-1,1.03000000,-2.3268796085e-3,0.01
8,mlp.down_proj,-8.1537243909e-2,2.6596658219e-1,1.03000000,-2.3264323553e-3,0.01
9,self_attn.q_proj,1.4908440704e-6,2.9816881408e-4,0.99500000,-3.7271101760e-9,0.01
9,self_attn.k_proj,-7.4542203521e-6,1.4908440704e-3,1.00500000,-1.8635550880e-8,0.01
9,self_attn.v_proj,-3.8340036963e-2,2.3644786959e-1,1.03000000,-1.0437995676e-3,0.01
9,self_attn.o_proj,-3.8332582743e-2,2.3734237603e-1,1.03000000,-1.0431734131e-3,0.01
9,mlp.gate_proj,5.1197076228e-2,2.1617239023e-1,0.97000000,-1.4386347112e-3,0.01
9,mlp.up_proj,2.1305652613e-2,2.2273210415e-1,0.97000000,-5.3894013152e-4,0.01
9,mlp.down_proj,2.1320561054e-2,2.2153942889e-1,0.97000000,-5.3992408861e-4,0.01
10,self_attn.q_proj,-5.9633762817e-6,1.1926752563e-3,1.00500000,-1.4908440704e-8,0.01
10,self_attn.k_proj,1.0435908493e-5,1.4908440704e-3,0.99300000,-3.6525679725e-8,0.01
10,self_attn.v_proj,1.3546107394e-1,3.8404143258e-1,0.97000000,-3.8910135736e-3,0.01
10,self_attn.o_proj,1.3546405563e-1,3.8344509496e-1,0.97000000,-3.8913713762e-3,0.01
10,mlp.gate_proj,1.5368962439e-1,6.0200283571e-1,0.97000000,-4.3397874557e-3,0.01
10,mlp.up_proj,5.3783690691e-2,4.9138220566e-1,0.97000000,-1.3923887282e-3,0.01
10,mlp.down_proj,5.3776236470e-2,4.8989136159e-1,0.97000000,-1.3928359814e-3,0.01
11,self_attn.q_proj,1.3417596634e-5,-8.9450644225e-4,0.97000000,-8.0505579803e-7,0.01
11,self_attn.k_proj,-8.9450644225e-6,-5.9633762817e-4,1.03000000,-5.3670386535e-7,0.01
11,self_attn.v_proj,8.9665325782e-2,4.7587742733e-1,0.97000000,-2.4758149312e-3,0.01
11,self_attn.o_proj,8.9657871561e-2,4.7438658326e-1,0.97000000,-2.4762621844e-3,0.01
11,mlp.gate_proj,3.8991535822e-2,3.5541722643e-1,0.97000000,-1.0098083228e-3,0.01
11,mlp.up_proj,-3.0873889858e-2,2.3346618145e-1,1.03000000,-8.2115691408e-4,0.01
11,mlp.down_proj,-3.0884325766e-2,2.3197533738e-1,1.03000000,-8.2214087117e-4,0.01
12,self_attn.q_proj,-5.9633762817e-6,-5.9633762817e-4,1.03000000,-4.4725322113e-7,0.01
12,self_attn.k_proj,-1.4908440704e-6,-2.9816881408e-4,1.03000000,-1.7890128845e-7,0.01
12,self_attn.v_proj,2.9056550936e-2,1.2940526533e-1,0.97000000,-8.1346415868e-4,0.01
12,self_attn.o_proj,2.9053569248e-2,1.3119427821e-1,0.97000000,-8.1256965224e-4,0.01
12,mlp.gate_proj,5.6441865669e-2,3.6167877153e-1,0.97000000,-1.5305005229e-3,0.01
12,mlp.up_proj,-7.2902275052e-3,2.3614970078e-1,1.03000000,-1.1243945980e-4,0.01
12,mlp.down_proj,-7.2932091933e-3,2.3495702552e-1,1.03000000,-1.1306561431e-4,0.01
13,self_attn.q_proj,-7.4542203521e-6,-2.6835193268e-3,1.03000000,-1.4312103076e-6,0.01
13,self_attn.k_proj,7.4542203521e-6,8.9450644225e-4,0.99166667,-3.1059251467e-8,0.01
13,self_attn.v_proj,5.5231300283e-2,2.0663098818e-1,0.97000000,-1.5639550638e-3,0.01
13,self_attn.o_proj,5.5240245348e-2,2.0842000107e-1,0.97000000,-1.5634183599e-3,0.01
13,mlp.gate_proj,2.3213933023e-2,1.9410789799e-1,0.97000000,-6.0906943660e-4,0.01
13,mlp.up_proj,-2.7151252214e-2,1.3715765449e-1,1.03000000,-7.5281662189e-4,0.01
13,mlp.down_proj,-2.7157215590e-2,1.3775399212e-1,1.03000000,-7.5272717124e-4,0.01
14,self_attn.q_proj,1.4908440704e-6,-8.9450644225e-4,0.97000000,-4.4725322113e-7,0.01
14,self_attn.k_proj,1.4908440704e-6,2.9816881408e-4,0.99500000,-3.7271101760e-9,0.01
14,self_attn.v_proj,1.5605857562e-1,1.5027708232e-1,0.97000000,-4.6141325816e-3,0.01
14,self_attn.o_proj,1.5604963056e-1,1.4848806943e-1,0.97000000,-4.6146692855e-3,0.01
14,mlp.gate_proj,-3.0161266392e-2,3.3245822774e-1,1.03000000,-7.5523178928e-4,0.01
14,mlp.up_proj,-5.1702472368e-2,1.9738775495e-1,1.03000000,-1.4622496813e-3,0.01
14,mlp.down_proj,-5.1705454056e-2,1.9917676783e-1,1.03000000,-1.4615340762e-3,0.01
15,self_attn.q_proj,7.4542203521e-6,-2.0871816986e-3,0.97000000,-1.1628583749e-6,0.01
15,self_attn.k_proj,1.0435908493e-5,-2.9816881408e-4,0.97000000,-4.4725322113e-7,0.01
15,self_attn.v_proj,1.2046467344e-1,1.0227190324e-1,0.97000000,-3.5679178466e-3,0.01
15,self_attn.o_proj,1.2045423753e-1,1.0316640968e-1,0.97000000,-3.5672022415e-3,0.01
15,mlp.gate_proj,-1.7682901521e-2,2.9846698293e-1,1.03000000,-3.9617690332e-4,0.01
15,mlp.up_proj,-5.0102796680e-2,1.6727270472e-1,1.03000000,-1.4278111833e-3,0.01
15,mlp.down_proj,-5.0105778368e-2,1.6608002946e-1,1.03000000,-1.4284373378e-3,0.01
16,self_attn.q_proj,-4.4725322113e-6,8.9450644225e-4,1.00500000,-1.1181330528e-8,0.01
16,self_attn.k_proj,-2.9816881408e-6,-1.7890128845e-3,1.03000000,-8.9450644225e-7,0.01
16,self_attn.v_proj,2.0494782523e-1,1.6488735421e-1,0.97000000,-6.0742354475e-3,0.01
16,self_attn.o_proj,2.0496273367e-1,1.6548369183e-1,0.97000000,-6.0744143487e-3,0.01
16,mlp.gate_proj,-5.9277451091e-2,6.1273691301e-1,1.03000000,-1.5025919219e-3,0.01
16,mlp.up_proj,-5.7455639637e-2,4.3860632557e-1,1.03000000,-1.5262963426e-3,0.01
16,mlp.down_proj,-5.7446694572e-2,4.3741365031e-1,1.03000000,-1.5265646945e-3,0.01
17,self_attn.q_proj,-4.4725322113e-6,-2.9816881408e-4,1.03000000,-2.6835193268e-7,0.01
17,self_attn.k_proj,-4.4725322113e-6,-8.9450644225e-4,1.03000000,-5.3670386535e-7,0.01
17,self_attn.v_proj,1.8505400195e-1,2.3525519434e-1,0.97000000,-5.4457552211e-3,0.01
17,self_attn.o_proj,1.8505698364e-1,2.3406251908e-1,0.97000000,-5.4463813756e-3,0.01
17,mlp.gate_proj,1.7951253454e-2,3.2947653960e-1,0.97000000,-3.9027316080e-4,0.01
17,mlp.up_proj,-7.6003230719e-3,2.6596658219e-1,1.02857623,-1.0859430219e-4,0.01
17,mlp.down_proj,-7.6241765770e-3,2.6715925745e-1,1.02853795,-1.0878917136e-4,0.01
18,self_attn.q_proj,-7.4542203521e-6,-8.9450644225e-4,1.03000000,-6.2615450958e-7,0.01
18,self_attn.k_proj,-1.4908440704e-6,-2.6835193268e-3,1.03000000,-1.2523090192e-6,0.01
18,self_attn.v_proj,5.3829906857e-2,2.3525519434e-1,0.97000000,-1.5090323683e-3,0.01
18,self_attn.o_proj,5.3826925169e-2,2.3585153197e-1,0.97000000,-1.5086745657e-3,0.01
18,mlp.gate_proj,-9.7431132545e-2,3.7062383595e-1,1.03000000,-2.7561532502e-3,0.01
18,mlp.up_proj,-8.3988191561e-2,2.7014094559e-1,1.03000000,-2.3980823213e-3,0.01
18,mlp.down_proj,-8.3986700717e-2,2.6924643915e-1,1.03000000,-2.3984401239e-3,0.01
19,self_attn.q_proj,0.0000000000e0,0.0000000000e0,1.00000000,0.0000000000e0,0.01
19,self_attn.k_proj,-4.4725322113e-6,-8.9450644225e-4,1.03000000,-5.3670386535e-7,0.01
19,self_attn.v_proj,3.8085102627e-2,2.6358123168e-1,0.97000000,-1.0239415246e-3,0.01
19,self_attn.o_proj,3.8085102627e-2,2.6477390693e-1,0.97000000,-1.0234048207e-3,0.01
19,mlp.gate_proj,1.6220383488e-3,4.2280337842e-1,0.99616361,-3.1113852671e-6,0.01
19,mlp.up_proj,6.5134977444e-3,3.3603625351e-1,0.98061668,-6.3126600811e-5,0.01
19,mlp.down_proj,6.5149885885e-3,3.3514174707e-1,0.98056050,-6.3324066130e-5,0.01
20,self_attn.q_proj,-1.4908440704e-6,-2.0871816986e-3,1.03000000,-9.8395708648e-7,0.01
20,self_attn.k_proj,0.0000000000e0,-2.3853505127e-3,1.03000000,-1.0734077307e-6,0.01
20,self_attn.v_proj,4.7745772205e-2,2.6596658219e-1,0.97000000,-1.3126882042e-3,0.01
20,self_attn.o_proj,4.7736827140e-2,2.6596658219e-1,0.97000000,-1.3124198522e-3,0.01
20,mlp.gate_proj,-8.4405627901e-2,3.7867439393e-1,1.03000000,-2.3617653597e-3,0.01
20,mlp.up_proj,-8.6957952949e-2,3.0651754091e-1,1.03000000,-2.4708056951e-3,0.01
20,mlp.down_proj,-8.6962425482e-2,3.0681570973e-1,1.03000000,-2.4708056951e-3,0.01
21,self_attn.q_proj,-2.9816881408e-6,-1.1926752563e-3,1.03000000,-6.2615450958e-7,0.01
21,self_attn.k_proj,8.9450644225e-6,-5.9633762817e-4,0.97000000,-5.3670386535e-7,0.01
21,self_attn.v_proj,1.8477521411e-1,2.9399445072e-1,0.97000000,-5.4109589204e-3,0.01
21,self_attn.o_proj,1.8477521411e-1,2.9280177546e-1,0.97000000,-5.4114956243e-3,0.01
21,mlp.gate_proj,-3.2334917047e-2,3.4378864268e-1,1.03000000,-8.1534262221e-4,0.01
21,mlp.up_proj,-4.2122308370e-2,3.1486626771e-1,1.03000000,-1.1219794306e-3,0.01
21,mlp.down_proj,-4.2126780903e-2,3.1456809889e-1,1.03000000,-1.1222477826e-3,0.01
22,self_attn.q_proj,-4.4725322113e-6,-2.0871816986e-3,1.03000000,-1.0734077307e-6,0.01
22,self_attn.k_proj,-2.9816881408e-6,0.0000000000e0,1.03000000,-8.9450644225e-8,0.01
22,self_attn.v_proj,-5.1355105700e-2,3.8672495191e-1,1.03000000,-1.3666269426e-3,0.01
22,self_attn.o_proj,-5.1352124012e-2,3.8493593902e-1,1.03000000,-1.3673425478e-3,0.01
22,mlp.gate_proj,-4.3826343143e-2,2.6507207575e-1,1.03000000,-1.1955078602e-3,0.01
22,mlp.up_proj,-4.1816685336e-2,2.1617239023e-1,1.03000000,-1.1572229845e-3,0.01
22,mlp.down_proj,-4.1807740272e-2,2.1676872786e-1,1.03000000,-1.1566862806e-3,0.01
23,self_attn.q_proj,-4.4725322113e-6,-8.9450644225e-4,1.03000000,-5.3670386535e-7,0.01
23,self_attn.k_proj,-7.4542203521e-6,-2.9816881408e-4,1.03000000,-3.5780257690e-7,0.01
23,self_attn.v_proj,3.2628613329e-2,1.4073568026e-1,0.97000000,-9.1552734375e-4,0.01
23,self_attn.o_proj,3.2609232356e-2,1.4103384907e-1,0.97000000,-9.1481173860e-4,0.01
23,mlp.gate_proj,-4.4219925978e-2,2.3525519434e-1,1.03000000,-1.2207329419e-3,0.01
23,mlp.up_proj,-5.0239954335e-2,1.9410789799e-1,1.03000000,-1.4198500759e-3,0.01
23,mlp.down_proj,-5.0239954335e-2,1.9410789799e-1,1.03000000,-1.4198500759e-3,0.01
24,self_attn.q_proj,4.4725322113e-6,8.9450644225e-4,0.99500000,-1.1181330528e-8,0.01
24,self_attn.k_proj,0.0000000000e0,-1.7890128845e-3,1.03000000,-8.0505579803e-7,0.01
24,self_attn.v_proj,7.7844423146e-2,1.9172254747e-1,0.97000000,-2.2490575480e-3,0.01
24,self_attn.o_proj,7.7841441458e-2,1.9231888510e-1,0.97000000,-2.2486997454e-3,0.01
24,mlp.gate_proj,-3.6640474723e-2,2.3644786959e-1,1.03000000,-9.9281270037e-4,0.01
24,mlp.up_proj,-3.9540166440e-2,1.8903902815e-1,1.03000000,-1.1011374305e-3,0.01
24,mlp.down_proj,-3.9544638972e-2,1.8933719697e-1,1.03000000,-1.1011374305e-3,0.01
25,self_attn.q_proj,-1.4908440704e-6,-2.9816881408e-4,1.03000000,-1.7890128845e-7,0.01
25,self_attn.k_proj,-1.4908440704e-6,-1.4908440704e-3,1.03000000,-7.1560515380e-7,0.01
25,self_attn.v_proj,1.4586120218e-1,1.7830495084e-1,0.97000000,-4.2955988375e-3,0.01
25,self_attn.o_proj,1.4586567471e-1,1.7979579491e-1,0.97000000,-4.2950621336e-3,0.01
25,mlp.gate_proj,-3.2834349811e-2,2.3137899976e-1,1.03000000,-8.8090994443e-4,0.01
25,mlp.up_proj,-3.8897612646e-2,1.8397015831e-1,1.03000000,-1.0841418081e-3,0.01
25,mlp.down_proj,-3.8891649270e-2,1.8337382068e-1,1.03000000,-1.0842312588e-3,0.01
26,self_attn.q_proj,-4.4725322113e-6,-8.9450644225e-4,1.03000000,-5.3670386535e-7,0.01
26,self_attn.k_proj,-2.9816881408e-6,-1.1926752563e-3,1.03000000,-6.2615450958e-7,0.01
26,self_attn.v_proj,5.5216391842e-2,2.0663098818e-1,0.97000000,-1.5635078106e-3,0.01
26,self_attn.o_proj,5.5223846063e-2,2.0573648174e-1,0.97000000,-1.5641339651e-3,0.01
26,mlp.gate_proj,-2.9582818893e-2,4.0640409364e-1,1.03000000,-7.0460272464e-4,0.01
26,mlp.up_proj,-4.2232630832e-2,3.4766483726e-1,1.03000000,-1.1105297482e-3,0.01
26,mlp.down_proj,-4.2234121676e-2,3.4557765556e-1,1.03000000,-1.1115137053e-3,0.01
27,self_attn.q_proj,2.9816881408e-6,-1.7890128845e-3,0.97000000,-8.9450644225e-7,0.01
27,self_attn.k_proj,1.4908440704e-6,-1.4908440704e-3,0.97000000,-7.1560515380e-7,0.01
27,self_attn.v_proj,9.4230290326e-2,1.0257007205e-1,0.97000000,-2.7807521773e-3,0.01
27,self_attn.o_proj,9.4227308638e-2,1.0316640968e-1,0.97000000,-2.7803943748e-3,0.01
27,mlp.gate_proj,-3.5514142028e-1,1.4321048142e0,1.03000000,-1.0009795442e-2,0.01
27,mlp.up_proj,-3.0717947568e-1,1.2725844987e0,1.03000000,-8.6427212460e-3,0.01
27,mlp.down_proj,-3.0718394821e-1,1.2716899922e0,1.03000000,-8.6432579499e-3,0.01
